ARA homolog	Log FC
AT2G31880	3.04
AT2G32030	5.23
AT2G32060	1.05
AT2G32560	-1.23
AT2G32590	-1.47
AT2G32700	-1.14
AT2G32990	-2.88
AT2G33310	1.01
AT2G33490	1.15
AT2G33550	1.10
AT2G33560	-2.07
AT2G33570	-1.39
AT2G33580	1.24
AT2G33630	-1.05
AT2G33793	-1.37
AT2G33800	-1.24
AT2G33800	-1.26
AT2G33800	-1.34
AT2G34080	1.64
AT2G34190	-1.65
AT2G34357	1.29
AT2G34420	-2.85
AT2G34430	-1.32
AT2G34660	2.05
AT2G34680	-1.18
AT2G34690	-1.33
AT2G34750	1.04
AT2G34770	-1.73
AT2G34930	2.06
AT2G35020	-1.41
AT2G35060	1.48
AT2G35390	1.06
AT2G35795	1.60
AT2G35830	-1.22
AT2G35930	1.11
AT2G36145	-1.26
AT2G36170	9.16
AT2G36170	7.38
AT2G36200	-2.59
AT2G36570	-1.80
AT2G36760	2.61
AT2G36830	-1.22
AT2G36870	-1.97
AT2G36885	-1.34
AT2G37040	1.15
AT2G37080	-1.30
AT2G37130	3.07
AT2G37220	-1.12
AT2G37230	1.00
AT2G37300	-1.81
AT2G37460	1.30
AT2G37650	3.53
AT2G37650	2.29
AT2G37650	1.34
AT2G37660	-1.24
AT2G37760	3.39
AT2G37900	-1.47
AT2G37970	1.02
AT2G38290	2.11
AT2G38470	3.07
AT2G38470	3.05
AT2G38470	2.62
AT2G38530	2.84
AT2G38530	-4.46
AT2G38540	-1.46
AT2G38600	2.30
AT2G38620	-2.19
AT2G38650	-1.00
AT2G38720	-1.79
AT2G38750	-1.78
AT2G39210	1.43
AT2G39210	1.09
AT2G39210	1.08
AT2G39470	-1.09
AT2G39630	1.35
AT2G39650	1.16
AT2G39700	-2.62
AT2G39710	1.25
AT2G39890	1.23
AT2G39980	-1.43
AT2G40095	1.17
AT2G40140	2.45
AT2G40140	1.47
AT2G40180	1.54
AT2G40270	1.66
AT2G40280	-1.35
AT2G40320	-1.18
AT2G40340	2.56
AT2G40340	2.06
AT2G40360	1.10
AT2G40435	-1.09
AT2G40460	-1.25
AT2G40490	-1.03
AT2G40540	-1.23
AT2G40540	-1.48
AT2G40610	-2.25
AT2G40620	-1.27
AT2G40700	1.16
AT2G40890	-1.00
AT2G41010	1.75
